balance_type,energy_source,country,year,value_gwh
Exports,Total,Austria,2005,47084.289
Exports,Total,Austria,2006,38614.345
Exports,Total,Austria,2007,45452.897
Exports,Total,Austria,2008,48449.491
Exports,Total,Austria,2009,48748.58
Exports,Total,Austria,2010,47955.359
Exports,Total,Austria,2011,47535.014
Exports,Total,Austria,2012,54067.142
Exports,Total,Austria,2013,51555.857
Exports,Total,Austria,2014,53741.713
Exports,Total,Austria,2015,58172.866
Exports,Total,Austria,2016,57474.653
Exports,Total,Austria,2017,61484.878
Exports,Total,Austria,2018,64236.713
Exports,Total,Austria,2019,65538.201
Exports,Total,Austria,2020,64041.118
Exports,Total,Austria,2021,62715.422
Exports,Total,Austria,2022,48209.051
Exports,Total,Austria,2023,57508.69
Exports,Total,Austria,2024,62312.922
Exports,Total,Belgium,2005,318269.933
Exports,Total,Belgium,2006,301858.75
Exports,Total,Belgium,2007,312098.801
Exports,Total,Belgium,2008,307941.066
Exports,Total,Belgium,2009,334638.975
Exports,Total,Belgium,2010,334278.615
Exports,Total,Belgium,2011,344033.44
Exports,Total,Belgium,2012,345176.978
Exports,Total,Belgium,2013,345789.114
Exports,Total,Belgium,2014,367327.564
Exports,Total,Belgium,2015,364757.903
Exports,Total,Belgium,2016,363424.788
Exports,Total,Belgium,2017,411135.228
Exports,Total,Belgium,2018,402695.766
Exports,Total,Belgium,2019,442314.505
Exports,Total,Belgium,2020,369281.978
Exports,Total,Belgium,2021,417951.86
Exports,Total,Belgium,2022,445287.866
Exports,Total,Belgium,2023,462459.239
Exports,Total,Belgium,2024,431171.449
Exports,Total,Bulgaria,2005,39262.756
Exports,Total,Bulgaria,2006,52308.926
Exports,Total,Bulgaria,2007,52465.095
Exports,Total,Bulgaria,2008,53129.581
Exports,Total,Bulgaria,2009,45011.929
Exports,Total,Bulgaria,2010,52452.51
Exports,Total,Bulgaria,2011,55445.112
Exports,Total,Bulgaria,2012,60943.957
Exports,Total,Bulgaria,2013,63051.862
Exports,Total,Bulgaria,2014,62466.316
Exports,Total,Bulgaria,2015,68944.904
Exports,Total,Bulgaria,2016,66282.169
Exports,Total,Bulgaria,2017,67610.095
Exports,Total,Bulgaria,2018,54246.848
Exports,Total,Bulgaria,2019,62121.52
Exports,Total,Bulgaria,2020,43266.465
Exports,Total,Bulgaria,2021,36018.498
Exports,Total,Bulgaria,2022,64969.607
Exports,Total,Bulgaria,2023,51741.34
Exports,Total,Bulgaria,2024,53740.345
Exports,Total,Cyprus,2005,0.0
Exports,Total,Cyprus,2006,0.0
Exports,Total,Cyprus,2007,0.0
Exports,Total,Cyprus,2008,0.0
Exports,Total,Cyprus,2009,0.0
Exports,Total,Cyprus,2010,0.0
Exports,Total,Cyprus,2011,0.0
Exports,Total,Cyprus,2012,0.0
Exports,Total,Cyprus,2013,0.0
Exports,Total,Cyprus,2014,0.0
Exports,Total,Cyprus,2015,281.75
Exports,Total,Cyprus,2016,200.399
Exports,Total,Cyprus,2017,0.0
Exports,Total,Cyprus,2018,0.0
Exports,Total,Cyprus,2019,0.0
Exports,Total,Cyprus,2020,0.0
Exports,Total,Cyprus,2021,392.69
Exports,Total,Cyprus,2022,209.193
Exports,Total,Cyprus,2023,0.0
Exports,Total,Cyprus,2024,416.202
Exports,Total,Czechia,2005,96768.384
Exports,Total,Czechia,2006,105160.218
Exports,Total,Czechia,2007,105647.452
Exports,Total,Czechia,2008,99140.304
Exports,Total,Czechia,2009,101697.819
Exports,Total,Czechia,2010,105825.361
Exports,Total,Czechia,2011,102314.983
Exports,Total,Czechia,2012,100775.913
Exports,Total,Czechia,2013,97215.251
