balance_type,energy_source,country,year,value_gwh
Exports,Solid fossil fuels,Austria,2005,178.549
Exports,Solid fossil fuels,Austria,2006,382.906
Exports,Solid fossil fuels,Austria,2007,192.952
Exports,Solid fossil fuels,Austria,2008,34.911
Exports,Solid fossil fuels,Austria,2009,119.194
Exports,Solid fossil fuels,Austria,2010,54.812
Exports,Solid fossil fuels,Austria,2011,28.21
Exports,Solid fossil fuels,Austria,2012,20.397
Exports,Solid fossil fuels,Austria,2013,14.441
Exports,Solid fossil fuels,Austria,2014,18.575
Exports,Solid fossil fuels,Austria,2015,573.584
Exports,Solid fossil fuels,Austria,2016,405.039
Exports,Solid fossil fuels,Austria,2017,422.345
Exports,Solid fossil fuels,Austria,2018,444.978
Exports,Solid fossil fuels,Austria,2019,387.222
Exports,Solid fossil fuels,Austria,2020,304.601
Exports,Solid fossil fuels,Austria,2021,452.424
Exports,Solid fossil fuels,Austria,2022,414.725
Exports,Solid fossil fuels,Austria,2023,384.521
Exports,Solid fossil fuels,Austria,2024,500.235
Exports,Solid fossil fuels,Belgium,2005,8932.833
Exports,Solid fossil fuels,Belgium,2006,9189.321
Exports,Solid fossil fuels,Belgium,2007,11368.879
Exports,Solid fossil fuels,Belgium,2008,9564.936
Exports,Solid fossil fuels,Belgium,2009,9606.438
Exports,Solid fossil fuels,Belgium,2010,8053.026
Exports,Solid fossil fuels,Belgium,2011,8120.196
Exports,Solid fossil fuels,Belgium,2012,9569.387
Exports,Solid fossil fuels,Belgium,2013,7314.503
Exports,Solid fossil fuels,Belgium,2014,6372.755
Exports,Solid fossil fuels,Belgium,2015,1071.731
Exports,Solid fossil fuels,Belgium,2016,588.376
Exports,Solid fossil fuels,Belgium,2017,798.57
Exports,Solid fossil fuels,Belgium,2018,597.353
Exports,Solid fossil fuels,Belgium,2019,961.265
Exports,Solid fossil fuels,Belgium,2020,1785.409
Exports,Solid fossil fuels,Belgium,2021,816.557
Exports,Solid fossil fuels,Belgium,2022,945.837
Exports,Solid fossil fuels,Belgium,2023,1405.455
Exports,Solid fossil fuels,Belgium,2024,637.235
Exports,Solid fossil fuels,Bulgaria,2005,159.075
Exports,Solid fossil fuels,Bulgaria,2006,30.823
Exports,Solid fossil fuels,Bulgaria,2007,14.154
Exports,Solid fossil fuels,Bulgaria,2008,193.266
Exports,Solid fossil fuels,Bulgaria,2009,65.473
Exports,Solid fossil fuels,Bulgaria,2010,546.787
