balance_type,energy_source,country,year,value_gwh
Gross available energy,Nuclear heat,Austria,2005,0.0
Gross available energy,Nuclear heat,Austria,2006,0.0
Gross available energy,Nuclear heat,Austria,2007,0.0
Gross available energy,Nuclear heat,Austria,2008,0.0
Gross available energy,Nuclear heat,Austria,2009,0.0
Gross available energy,Nuclear heat,Austria,2010,0.0
Gross available energy,Nuclear heat,Austria,2011,0.0
Gross available energy,Nuclear heat,Austria,2012,0.0
Gross available energy,Nuclear heat,Austria,2013,0.0
Gross available energy,Nuclear heat,Austria,2014,0.0
Gross available energy,Nuclear heat,Austria,2015,0.0
Gross available energy,Nuclear heat,Austria,2016,0.0
Gross available energy,Nuclear heat,Austria,2017,0.0
Gross available energy,Nuclear heat,Austria,2018,0.0
Gross available energy,Nuclear heat,Austria,2019,0.0
Gross available energy,Nuclear heat,Austria,2020,0.0
Gross available energy,Nuclear heat,Austria,2021,0.0
Gross available energy,Nuclear heat,Austria,2022,0.0
Gross available energy,Nuclear heat,Austria,2023,0.0
Gross available energy,Nuclear heat,Austria,2024,0.0
Gross available energy,Nuclear heat,Belgium,2005,142785.0
Gross available energy,Nuclear heat,Belgium,2006,139935.0
Gross available energy,Nuclear heat,Belgium,2007,144681.0
Gross available energy,Nuclear heat,Belgium,2008,136704.0
Gross available energy,Nuclear heat,Belgium,2009,137853.728
Gross available energy,Nuclear heat,Belgium,2010,135010.96
Gross available energy,Nuclear heat,Belgium,2011,136078.106
Gross available energy,Nuclear heat,Belgium,2012,113570.59
Gross available energy,Nuclear heat,Belgium,2013,120213.425
Gross available energy,Nuclear heat,Belgium,2014,95089.636
Gross available energy,Nuclear heat,Belgium,2015,73073.36
Gross available energy,Nuclear heat,Belgium,2016,123149.686
Gross available energy,Nuclear heat,Belgium,2017,119785.627
Gross available energy,Nuclear heat,Belgium,2018,80954.825
Gross available energy,Nuclear heat,Belgium,2019,123202.928
Gross available energy,Nuclear heat,Belgium,2020,97354.904
Gross available energy,Nuclear heat,Belgium,2021,142156.025
Gross available energy,Nuclear heat,Belgium,2022,124412.518
Gross available energy,Nuclear heat,Belgium,2023,92170.111
Gross available energy,Nuclear heat,Belgium,2024,87393.972
Gross available energy,Nuclear heat,Bulgaria,2005,56460.667
Gross available energy,Nuclear heat,Bulgaria,2006,58966.5
Gross available energy,Nuclear heat,Bulgaria,2007,44640.667
Gross available energy,Nuclear heat,Bulgaria,2008,48050.0
Gross available energy,Nuclear heat,Bulgaria,2009,45100.093
Gross available energy,Nuclear heat,Bulgaria,2010,44765.266
Gross available energy,Nuclear heat,Bulgaria,2011,47741.964
Gross available energy,Nuclear heat,Bulgaria,2012,46755.391
Gross available energy,Nuclear heat,Bulgaria,2013,42653.955
Gross available energy,Nuclear heat,Bulgaria,2014,47063.121
