year,country,renewable_share,dependency_rate,eu_rank
2005,Denmark,12.31,-50.62,10
2006,Denmark,11.55,-35.49,9
2007,Denmark,13.14,-24.25,7
2008,Denmark,13.17,-21.13,9
2009,Denmark,14.0,-18.8,10
2010,Denmark,14.86,-16.24,11
2011,Denmark,15.86,-6.31,8
2012,Denmark,16.48,-3.18,8
2013,Denmark,16.98,12.31,10
2014,Denmark,18.55,12.23,10
2015,Denmark,20.72,13.08,8
2016,Denmark,20.34,13.57,8
2017,Denmark,21.57,11.34,8
2018,Denmark,21.49,22.7,8
2019,Denmark,23.11,38.88,8
2020,Denmark,26.1,44.89,8
2021,Denmark,26.27,32.22,8
2022,Denmark,28.93,43.14,6
2023,Denmark,31.04,39.71,7
2024,Denmark,30.61,38.23,7
2005,France,5.68,51.7,14
2006,France,5.65,51.52,17
2007,France,6.12,50.42,16
2008,France,6.98,50.75,15
2009,France,7.44,50.65,16
2010,France,8.1,48.67,18
2011,France,7.26,49.01,20
2012,France,8.65,48.13,20
2013,France,9.55,47.93,20
2014,France,9.03,46.21,20
2015,France,9.29,45.89,21
2016,France,10.11,47.33,20
2017,France,9.87,48.7,20
2018,France,10.82,46.73,20
2019,France,10.89,47.58,21
2020,France,12.51,44.42,19
2021,France,12.33,44.04,20
2022,France,13.03,51.82,20
2023,France,14.13,44.77,18
2024,France,15.22,41.68,18
2005,Germany,5.15,60.74,17
2006,Germany,6.09,60.98,13
2007,Germany,7.45,58.52,13
2008,Germany,7.74,60.77,13
2009,Germany,8.29,61.1,15
2010,Germany,9.05,59.99,16
2011,Germany,9.91,61.8,16
2012,Germany,11.0,61.22,15
2013,Germany,11.15,62.41,16
2014,Germany,11.7,61.78,15
2015,Germany,12.41,62.13,16
2016,Germany,12.29,63.75,16
2017,Germany,13.07,63.96,13
2018,Germany,13.73,63.48,13
2019,Germany,14.76,67.06,13
2020,Germany,16.28,63.68,14
2021,Germany,15.85,63.39,14
2022,Germany,17.35,68.65,11
2023,Germany,19.21,66.83,11
2024,Germany,20.02,66.89,10
2005,Italy,6.95,83.35,12
2006,Italy,7.46,85.87,12
2007,Italy,8.4,83.0,12
2008,Italy,10.02,82.8,12
2009,Italy,11.03,80.78,12
2010,Italy,10.79,82.57,13
2011,Italy,10.49,81.35,14
2012,Italy,12.64,79.11,13
2013,Italy,14.64,76.74,12
2014,Italy,15.58,75.81,12
2015,Italy,14.95,77.03,12
2016,Italy,15.06,77.65,12
2017,Italy,16.4,76.98,11
2018,Italy,16.69,76.34,11
2019,Italy,17.14,77.48,11
2020,Italy,18.85,73.45,10
2021,Italy,17.86,73.42,10
2022,Italy,17.05,79.49,12
2023,Italy,18.23,75.36,13
2024,Italy,19.65,73.88,11
