year,country,renewable_share_pct,dependency_rate_pct
2005,Austria,20.96,71.76
2006,Austria,21.31,72.25
2007,Austria,23.51,68.48
2008,Austria,24.48,68.74
2009,Austria,26.72,65.12
2010,Austria,25.96,62.78
2011,Austria,25.26,69.98
2012,Austria,29.0,63.78
2013,Austria,28.36,61.26
2014,Austria,29.13,65.62
2015,Austria,28.54,60.38
2016,Austria,29.43,62.1
2017,Austria,29.22,63.93
2018,Austria,28.86,64.22
2019,Austria,29.76,71.6
2020,Austria,32.72,58.28
2021,Austria,31.57,51.95
2022,Austria,32.65,73.99
2023,Austria,36.49,60.32
2024,Austria,39.05,53.33
2005,Belgium,1.31,79.91
2006,Belgium,1.39,79.49
2007,Belgium,1.7,76.88
2008,Belgium,1.99,80.85
2009,Belgium,2.73,75.92
2010,Belgium,3.61,78.66
2011,Belgium,4.0,76.59
2012,Belgium,4.67,76.67
2013,Belgium,4.84,77.86
2014,Belgium,5.07,80.19
2015,Belgium,5.13,84.23
2016,Belgium,4.92,75.98
2017,Belgium,5.05,75.32
2018,Belgium,5.29,83.04
2019,Belgium,5.66,77.67
2020,Belgium,6.9,78.13
2021,Belgium,6.9,70.77
2022,Belgium,7.8,73.7
2023,Belgium,9.16,75.76
2024,Belgium,9.12,75.45
2005,Bulgaria,5.63,47.34
2006,Bulgaria,5.74,46.22
2007,Bulgaria,4.98,51.23
2008,Bulgaria,5.52,52.15
2009,Bulgaria,6.63,45.39
2010,Bulgaria,8.51,40.15
2011,Bulgaria,7.63,36.73
2012,Bulgaria,9.0,36.86
2013,Bulgaria,11.02,38.31
2014,Bulgaria,10.66,35.17
2015,Bulgaria,11.28,36.45
2016,Bulgaria,10.87,38.47
2017,Bulgaria,10.19,39.36
2018,Bulgaria,13.64,36.6
2019,Bulgaria,13.6,38.46
2020,Bulgaria,14.49,38.17
2021,Bulgaria,15.35,36.18
2022,Bulgaria,14.26,37.11
2023,Bulgaria,15.6,39.51
2024,Bulgaria,16.08,41.94
2005,Croatia,18.89,52.59
2006,Croatia,18.2,49.17
2007,Croatia,15.61,51.81
2008,Croatia,17.28,54.75
2009,Croatia,20.11,46.04
2010,Croatia,23.02,46.7
2011,Croatia,20.47,49.64
2012,Croatia,22.44,49.85
2013,Croatia,27.19,47.44
2014,Croatia,28.22,44.21
2015,Croatia,26.33,48.79
2016,Croatia,26.77,48.43
2017,Croatia,24.87,53.16
2018,Croatia,27.51,52.7
2019,Croatia,25.87,56.22
2020,Croatia,27.96,53.56
2021,Croatia,30.45,54.54
2022,Croatia,28.4,60.3
2023,Croatia,29.01,55.72
2024,Croatia,27.78,59.93
2005,Cyprus,1.68,100.7
2006,Cyprus,1.69,102.51
2007,Cyprus,2.19,95.89
2008,Cyprus,2.49,97.43
2009,Cyprus,2.74,96.13
2010,Cyprus,2.92,100.64
2011,Cyprus,3.48,92.26
2012,Cyprus,4.14,96.75
2013,Cyprus,4.7,96.07
2014,Cyprus,4.66,93.09
2015,Cyprus,5.03,97.32
2016,Cyprus,4.86,95.84
2017,Cyprus,5.0,95.93
2018,Cyprus,6.63,92.49
2019,Cyprus,7.0,92.79
2020,Cyprus,8.1,93.18
2021,Cyprus,8.56,89.52
2022,Cyprus,8.59,92.02
2023,Cyprus,9.11,92.2
2024,Cyprus,9.46,87.71
2005,Czechia,5.02,27.85
2006,Czechia,5.28,27.5
2007,Czechia,5.53,24.99
2008,Czechia,6.04,27.74
2009,Czechia,7.11,26.87
2010,Czechia,7.25,25.38
2011,Czechia,8.11,28.83
2012,Czechia,8.78,25.41
2013,Czechia,9.66,27.58
2014,Czechia,10.21,30.23
2015,Czechia,10.43,32.09
2016,Czechia,10.57,32.8
2017,Czechia,10.28,37.16
2018,Czechia,10.47,36.88
2019,Czechia,11.59,40.81
2020,Czechia,12.85,38.77
2021,Czechia,13.13,39.96
2022,Czechia,13.27,41.77
2023,Czechia,13.93,41.68
2024,Czechia,14.38,39.32
2005,Denmark,12.31,-50.62
2006,Denmark,11.55,-35.49
2007,Denmark,13.14,-24.25
2008,Denmark,13.17,-21.13
2009,Denmark,14.0,-18.8
2010,Denmark,14.86,-16.24
2011,Denmark,15.86,-6.31
2012,Denmark,16.48,-3.18
2013,Denmark,16.98,12.31
2014,Denmark,18.55,12.23
2015,Denmark,20.72,13.08
2016,Denmark,20.34,13.57
2017,Denmark,21.57,11.34
2018,Denmark,21.49,22.7
2019,Denmark,23.11,38.88
2020,Denmark,26.1,44.89
2021,Denmark,26.27,32.22
2022,Denmark,28.93,43.14
2023,Denmark,31.04,39.71
2024,Denmark,30.61,38.23
2005,Estonia,12.33,26.88
2006,Estonia,11.4,30.03
2007,Estonia,11.25,24.29
2008,Estonia,12.93,27.22
2009,Estonia,18.58,27.18
2010,Estonia,16.08,14.68
2011,Estonia,16.4,13.65
2012,Estonia,18.6,20.65
2013,Estonia,17.83,14.52
2014,Estonia,20.1,11.56
2015,Estonia,25.45,11.18
2016,Estonia,23.71,8.07
2017,Estonia,25.52,4.58
2018,Estonia,28.94,1.23
2019,Estonia,36.58,4.72
2020,Estonia,38.58,10.53
2021,Estonia,39.61,1.41
2022,Estonia,37.12,6.16
2023,Estonia,42.52,3.47
2024,Estonia,45.45,4.62
2005,Finland,23.09,54.46
2006,Finland,22.77,54.07
2007,Finland,23.11,53.32
2008,Finland,25.19,54.48
2009,Finland,23.41,54.79
2010,Finland,25.34,48.85
2011,Finland,25.65,53.9
2012,Finland,28.98,47.1
2013,Finland,29.43,49.64
2014,Finland,29.41,49.89
2015,Finland,31.56,47.9
2016,Finland,30.89,46.1
2017,Finland,33.75,43.87
2018,Finland,33.43,45.23
2019,Finland,34.15,42.89
2020,Finland,35.5,43.03
2021,Finland,38.8,37.93
2022,Finland,38.71,40.92
2023,Finland,39.13,29.71
2024,Finland,40.27,32.97
2005,France,5.68,51.7
2006,France,5.65,51.52
2007,France,6.12,50.42
2008,France,6.98,50.75
2009,France,7.44,50.65
2010,France,8.1,48.67
2011,France,7.26,49.01
2012,France,8.65,48.13
2013,France,9.55,47.93
2014,France,9.03,46.21
2015,France,9.29,45.89
2016,France,10.11,47.33
2017,France,9.87,48.7
2018,France,10.82,46.73
2019,France,10.89,47.58
2020,France,12.51,44.42
2021,France,12.33,44.04
2022,France,13.03,51.82
2023,France,14.13,44.77
2024,France,15.22,41.68
2005,Germany,5.15,60.74
2006,Germany,6.09,60.98
2007,Germany,7.45,58.52
2008,Germany,7.74,60.77
2009,Germany,8.29,61.1
2010,Germany,9.05,59.99
2011,Germany,9.91,61.8
2012,Germany,11.0,61.22
2013,Germany,11.15,62.41
2014,Germany,11.7,61.78
2015,Germany,12.41,62.13
2016,Germany,12.29,63.75
2017,Germany,13.07,63.96
2018,Germany,13.73,63.48
2019,Germany,14.76,67.06
2020,Germany,16.28,63.68
2021,Germany,15.85,63.39
2022,Germany,17.35,68.65
2023,Germany,19.21,66.83
2024,Germany,20.02,66.89
2005,Greece,5.02,68.2
2006,Greece,5.38,71.42
2007,Greece,4.97,70.86
2008,Greece,4.93,72.92
2009,Greece,5.66,67.34
2010,Greece,6.55,68.58
2011,Greece,6.77,64.68
2012,Greece,7.88,65.89
2013,Greece,9.72,61.75
2014,Greece,9.25,65.45
2015,Greece,10.45,71.05
2016,Greece,10.12,72.91
2017,Greece,10.5,71.28
2018,Greece,11.59,70.68
2019,Greece,11.76,74.1
2020,Greece,14.54,81.41
2021,Greece,15.79,73.82
2022,Greece,15.18,79.51
2023,Greece,17.06,75.45
2024,Greece,17.3,77.71
2005,Hungary,5.93,62.25
2006,Hungary,6.08,61.82
2007,Hungary,6.72,60.36
2008,Hungary,7.4,62.59
2009,Hungary,9.9,57.57
2010,Hungary,10.32,56.93
