year,renewable_share,rolling_renewable,avg_dependency,rolling_dependency,fossil_gwh_m
2005,7.16,7.16,57.45,57.45,14.884
2006,7.51,7.33,58.52,57.98,14.986
2007,8.18,7.62,57.95,57.97,14.747
2008,8.84,8.18,58.87,58.45,14.534
2009,9.81,8.94,56.72,57.85,13.478
2010,10.51,9.72,55.89,57.16,13.88
2011,10.61,10.31,56.9,56.5,13.425
2012,11.94,11.02,56.02,56.27,13.038
2013,12.81,11.79,55.5,56.14,12.754
2014,13.26,12.67,55.01,55.51,12.113
2015,13.52,13.2,56.71,55.74,12.342
2016,13.61,13.46,55.92,55.88,12.512
2017,13.78,13.64,56.81,56.48,12.82
2018,14.48,13.96,57.32,56.68,12.59
2019,15.13,14.46,60.02,58.05,12.237
2020,16.94,15.52,57.99,58.44,10.97
2021,16.76,16.28,55.21,57.74,11.669
2022,17.45,17.05,61.02,58.07,11.29
2023,18.99,17.73,57.3,57.84,10.488
2024,19.81,18.75,56.04,58.12,10.366
