year,nuclear_idx,renewable_idx,fossil_idx,dependency_idx,nuclear_loss_cumulative,renewable_gain_cumulative
2005,100.0,100.0,100.0,100.0,,
2006,102.6,122.0,102.2,100.4,0.013,0.046
2007,86.2,142.2,97.2,96.3,-0.068,0.088
2008,91.1,149.4,97.5,100.0,-0.044,0.103
2009,82.6,149.7,90.5,100.6,-0.085,0.104
2010,86.1,171.9,94.5,98.8,-0.068,0.15
2011,66.1,178.5,90.6,101.7,-0.166,0.164
2012,60.9,199.8,91.3,100.8,-0.191,0.208
2013,59.6,206.9,93.8,102.7,-0.198,0.223
2014,59.5,207.7,88.9,101.7,-0.198,0.225
2015,56.2,221.5,89.6,102.3,-0.214,0.254
2016,51.8,221.0,91.1,105.0,-0.236,0.253
2017,46.7,236.1,91.4,105.3,-0.261,0.284
2018,46.5,242.0,88.4,104.5,-0.262,0.297
2019,46.0,254.4,84.9,110.4,-0.264,0.323
2020,39.4,259.5,76.7,104.8,-0.296,0.333
2021,42.2,262.9,80.3,104.4,-0.283,0.34
2022,21.3,274.1,78.1,113.0,-0.385,0.364
2023,4.4,274.4,70.0,110.0,-0.468,0.364
2024,0.0,282.3,68.7,110.1,-0.489,0.381
