country,share_2005,share_2024,growth_pp
Estonia,12.33,45.45,33.12
Latvia,38.23,69.88,31.65
Portugal,12.4,34.52,22.12
Lithuania,9.86,29.88,20.02
Sweden,27.09,46.96,19.87
Denmark,12.31,30.61,18.3
Austria,20.96,39.05,18.09
Finland,23.09,40.27,17.18
Germany,5.15,20.02,14.87
Spain,5.51,18.56,13.05
Italy,6.95,19.65,12.7
Greece,5.02,17.3,12.28
Netherlands,1.99,13.2,11.21
Bulgaria,5.63,16.08,10.45
Poland,4.9,14.82,9.92
Hungary,5.93,15.83,9.9
Ireland,2.38,12.23,9.85
France,5.68,15.22,9.54
Czechia,5.02,14.38,9.36
Croatia,18.89,27.78,8.89
Slovakia,4.6,13.22,8.62
Belgium,1.31,9.12,7.81
Cyprus,1.68,9.46,7.78
Luxembourg,1.49,8.78,7.29
Slovenia,13.38,18.9,5.52
Romania,12.88,18.25,5.37
Malta,0.03,1.86,1.83
