DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2005,47084.289,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2006,38614.345,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2007,45452.897,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2008,48449.491,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2009,48748.580,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2010,47955.359,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2011,47535.014,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2012,54067.142,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2013,51555.857,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2014,53741.713,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2015,58172.866,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2016,57474.653,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2017,61484.878,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2018,64236.713,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2019,65538.201,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2020,64041.118,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2021,62715.422,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2022,48209.051,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2023,57508.690,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Austria,2024,62312.922,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2005,318269.933,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2006,301858.750,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2007,312098.801,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2008,307941.066,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2009,334638.975,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2010,334278.615,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Total,Gigawatt-hour,Belgium,2011,344033.440,,
