DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2005,178.549,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2006,382.906,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2007,192.952,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2008,34.911,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2009,119.194,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2010,54.812,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2011,28.210,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2012,20.397,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2013,14.441,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2014,18.575,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2015,573.584,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2016,405.039,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2017,422.345,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2018,444.978,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2019,387.222,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2020,304.601,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2021,452.424,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Austria,2022,414.725,,
