DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2005,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2006,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2007,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2008,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2009,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2010,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2011,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2012,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2013,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2014,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2015,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2016,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2017,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2018,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2019,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2020,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2021,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2022,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2023,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Austria,2024,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2005,142785.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2006,139935.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2007,144681.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2008,136704.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2009,137853.728,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2010,135010.960,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2011,136078.106,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2012,113570.590,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2013,120213.425,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2014,95089.636,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2015,73073.360,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2016,123149.686,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2017,119785.627,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2018,80954.825,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2019,123202.928,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2020,97354.904,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2021,142156.025,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2022,124412.518,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2023,92170.111,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Belgium,2024,87393.972,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2005,56460.667,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2006,58966.500,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2007,44640.667,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2008,48050.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2009,45100.093,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2010,44765.266,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2011,47741.964,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2012,46755.391,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2013,42653.955,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2014,47063.121,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2015,45496.560,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2016,46646.767,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2017,45830.341,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2018,48477.329,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2019,50029.492,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2020,50412.294,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2021,49950.199,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2022,49889.548,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2023,49055.387,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Bulgaria,2024,47855.810,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Cyprus,2005,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Cyprus,2006,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Cyprus,2007,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Cyprus,2008,0.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Gross available energy,Nuclear heat,Gigawatt-hour,Cyprus,2009,0.000,,
